id,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,class
1,5,2,5,2,7,3,illegal
2,5,5,4,2,7,2,illegal
3,5,3,0,0,3,0,illegal
4,4,0,1,4,4,1,illegal
5,6,0,5,1,6,0,illegal
6,5,7,4,1,6,6,illegal
7,5,3,2,2,1,2,illegal
8,3,6,1,1,1,4,illegal
9,6,2,6,2,3,3,illegal
10,0,1,4,1,5,1,illegal
11,3,0,3,3,3,6,illegal
12,3,3,5,1,4,3,illegal
13,5,3,5,2,5,0,illegal
14,5,2,7,0,7,7,illegal
15,2,0,5,2,5,7,illegal
16,5,3,5,2,0,2,illegal
17,2,2,5,7,5,2,illegal
18,6,4,2,4,2,0,illegal
19,1,3,2,4,6,4,illegal
20,4,6,4,6,5,0,illegal
21,0,1,7,6,7,7,illegal
22,1,5,3,5,1,5,illegal
23,5,1,6,5,3,5,illegal
24,5,1,2,5,2,2,illegal
25,5,6,3,7,4,6,illegal
26,0,1,3,2,4,2,illegal
27,3,7,0,4,3,4,illegal
28,1,5,0,1,4,1,illegal
29,4,3,5,7,3,4,illegal
30,7,7,0,4,6,4,illegal
31,0,4,2,6,0,6,illegal
32,7,7,7,1,7,3,illegal
33,2,6,6,4,1,6,illegal
34,0,2,6,6,6,0,illegal
35,2,6,0,4,1,5,illegal
36,7,5,7,7,6,7,illegal
37,7,2,4,5,7,5,illegal
38,6,4,7,2,5,5,illegal
39,4,1,6,3,7,3,illegal
40,0,5,0,3,0,0,illegal
41,6,2,2,4,6,1,illegal
42,2,5,5,2,5,0,illegal
43,5,4,7,5,1,5,illegal
44,0,7,4,1,6,1,illegal
45,7,5,4,4,7,5,illegal
46,2,3,2,7,3,3,illegal
47,4,3,7,1,4,2,illegal
48,0,4,4,0,0,4,illegal
49,4,4,0,1,5,1,illegal
50,2,2,4,0,1,0,illegal
51,4,2,0,7,0,2,illegal
52,3,6,1,4,2,7,illegal
53,5,3,6,1,4,3,illegal
54,0,0,5,7,5,2,illegal
55,0,0,2,7,3,7,illegal
56,1,2,0,7,2,7,illegal
57,7,7,7,1,7,0,illegal
58,6,6,5,0,5,4,illegal
59,0,6,2,3,5,3,illegal
60,3,1,0,2,2,1,illegal
61,7,6,3,0,6,5,illegal
62,0,5,6,3,6,0,illegal
63,4,1,2,4,6,4,illegal
64,7,3,7,5,7,2,illegal
65,5,2,4,0,6,3,illegal
66,3,6,2,6,2,5,illegal
67,0,5,5,5,5,0,illegal
68,5,4,6,3,2,3,illegal
69,4,0,5,6,5,7,illegal
70,5,5,5,2,5,6,illegal
71,1,5,0,1,7,1,illegal
72,0,1,5,2,5,4,illegal
73,0,3,4,3,2,3,illegal
74,7,5,6,3,5,3,illegal
75,6,6,2,7,1,7,illegal
76,5,1,6,3,4,2,illegal
77,4,7,3,5,3,4,illegal
78,6,5,4,0,6,6,illegal
79,1,3,3,4,6,4,illegal
80,7,6,7,0,7,4,illegal
81,4,4,0,0,3,5,illegal
82,7,4,2,1,0,1,illegal
83,7,2,5,0,6,1,illegal
84,1,1,2,3,2,6,illegal
85,0,0,7,3,7,6,illegal
86,3,7,6,2,3,2,illegal
87,7,3,4,5,0,5,illegal
88,7,7,6,1,1,1,illegal
89,2,6,0,4,0,7,illegal
90,1,2,6,7,0,3,illegal
91,1,6,6,7,7,7,illegal
92,2,7,6,0,6,4,illegal
93,3,7,1,0,1,4,illegal
94,5,1,7,3,6,0,illegal
95,1,6,0,1,1,6,illegal
96,0,2,3,5,0,1,illegal
97,3,0,1,3,7,3,illegal
98,3,1,5,7,0,7,illegal
99,4,0,1,5,5,1,illegal
100,4,0,7,6,2,6,illegal
101,0,1,1,7,6,7,illegal
102,4,1,1,3,5,1,illegal
103,0,6,7,6,7,2,illegal
104,7,2,4,7,6,2,illegal
105,7,4,2,2,2,2,illegal
106,6,0,0,5,4,5,illegal
107,3,6,1,2,1,6,illegal
108,4,5,0,1,0,1,illegal
109,4,2,6,6,5,3,illegal
110,1,5,7,6,7,6,illegal
111,6,5,3,6,2,6,illegal
112,7,0,0,3,2,3,illegal
113,3,4,4,4,3,4,illegal
114,6,7,3,5,7,7,illegal
115,6,1,1,7,7,7,illegal
116,0,1,0,3,0,2,illegal
117,0,3,3,3,0,2,illegal
118,5,3,4,0,4,2,illegal
119,5,4,5,3,5,2,illegal
120,3,1,4,0,4,0,illegal
121,5,4,3,7,5,3,illegal
122,2,0,6,5,1,0,illegal
123,5,1,5,0,4,1,illegal
124,4,2,5,0,4,2,illegal
125,0,1,0,1,0,2,illegal
126,2,4,4,4,1,5,illegal
127,3,5,1,3,3,6,illegal
128,7,3,3,0,6,2,illegal
129,6,3,5,1,6,1,illegal
130,7,1,5,0,6,0,illegal
131,6,5,2,2,5,4,illegal
132,3,7,3,0,0,0,illegal
133,3,5,4,2,5,2,illegal
134,2,0,7,0,7,0,illegal
135,0,0,2,4,4,4,illegal
136,7,6,6,6,6,6,illegal
137,3,5,3,5,4,3,illegal
138,6,5,3,7,2,7,illegal
139,5,1,2,4,1,4,illegal
140,7,5,3,1,7,5,illegal
141,1,1,7,4,1,2,illegal
142,1,3,7,4,2,4,illegal
143,5,6,5,0,5,5,illegal
144,4,3,0,1,5,2,illegal
145,7,7,3,1,6,7,illegal
146,0,6,7,5,5,5,illegal
147,7,6,5,7,5,6,illegal
148,7,7,5,6,6,7,illegal
149,2,3,4,4,4,6,illegal
150,0,4,6,1,1,1,illegal
151,7,3,4,7,4,1,illegal
152,1,4,0,6,2,4,illegal
153,5,6,7,7,7,5,illegal
154,0,5,6,0,6,5,illegal
155,1,7,2,7,2,3,illegal
156,4,4,7,3,7,1,illegal
157,6,4,2,4,4,4,illegal
158,4,2,1,0,1,7,illegal
159,1,6,7,6,2,5,illegal
160,0,2,3,0,1,0,illegal
161,6,0,6,0,7,7,illegal
162,7,4,4,1,4,7,illegal
163,5,3,0,7,5,2,illegal
164,4,7,7,3,5,3,illegal
165,1,5,0,2,0,5,illegal
166,7,2,2,0,5,0,illegal
167,7,1,6,4,3,4,illegal
168,7,3,2,7,7,3,illegal
169,0,3,5,0,1,0,illegal
170,0,4,5,2,5,2,illegal
171,1,0,4,3,0,1,illegal
172,5,5,4,2,4,4,illegal
173,5,5,5,3,0,3,illegal
174,5,5,0,1,0,3,illegal
175,3,2,0,2,0,0,illegal
176,6,1,1,7,6,2,illegal
177,0,2,4,3,0,1,illegal
178,5,6,3,6,5,7,illegal
179,6,1,4,6,6,0,illegal
180,7,7,4,6,1,6,illegal
181,5,1,7,0,4,1,illegal
182,1,6,7,5,0,6,illegal
183,3,2,5,4,4,3,illegal
184,5,3,5,5,5,7,illegal
185,5,7,2,1,5,6,illegal
186,3,2,4,0,5,0,illegal
187,5,5,0,7,0,1,illegal
188,1,1,3,0,7,0,illegal
189,2,1,0,6,6,6,illegal
190,0,4,0,4,2,7,illegal
191,2,3,6,3,1,4,illegal
192,2,5,7,0,7,7,illegal
193,5,6,6,3,4,7,illegal
194,0,4,1,7,7,7,illegal
195,6,3,3,5,6,5,illegal
196,4,3,5,4,5,3,illegal
197,6,5,4,3,0,3,illegal
198,3,3,1,0,1,5,illegal
199,7,0,2,3,2,4,illegal
200,7,3,4,2,4,5,illegal
201,6,3,0,2,1,2,illegal
202,3,4,0,6,4,3,illegal
203,1,6,7,0,2,6,illegal
204,3,1,4,3,3,0,illegal
205,7,4,2,1,5,1,illegal
206,5,3,0,0,4,0,illegal
207,5,1,1,0,1,7,illegal
208,3,3,3,6,2,3,illegal
209,6,3,5,7,6,4,illegal
210,3,7,3,6,3,7,illegal
211,7,2,2,2,7,2,illegal
212,3,1,6,6,6,7,illegal
213,7,5,3,1,6,1,illegal
214,3,4,6,2,4,2,illegal
215,1,6,2,0,2,0,illegal
216,7,7,6,1,7,7,illegal
217,2,0,3,1,3,1,illegal
218,3,3,0,7,1,7,illegal
219,3,3,5,7,6,7,illegal
220,6,5,5,0,6,0,illegal
221,1,1,5,5,0,2,illegal
222,2,0,5,3,5,7,illegal
223,5,0,1,3,6,0,illegal
224,6,3,6,2,3,2,illegal
225,2,1,0,5,2,1,illegal
226,5,2,5,2,1,1,illegal
227,4,0,1,2,1,5,illegal
228,7,4,2,4,2,3,illegal
229,5,2,6,5,0,5,illegal
230,1,6,0,2,1,7,illegal
231,5,2,3,7,5,3,illegal
232,4,0,6,5,7,5,illegal
233,2,1,4,4,4,2,illegal
234,6,6,5,5,4,5,illegal
235,6,0,6,7,5,7,illegal
236,7,1,3,3,5,3,illegal
237,4,3,4,3,5,3,illegal
238,6,4,3,2,3,2,illegal
239,1,5,1,5,5,1,illegal
240,4,4,1,6,3,4,illegal
241,1,0,7,3,2,0,illegal
242,3,4,4,6,4,3,illegal
243,6,1,7,7,5,2,illegal
244,6,1,1,7,5,2,illegal
245,4,3,4,3,7,2,illegal
246,4,6,5,6,3,6,illegal
247,1,3,3,2,5,2,illegal
248,6,4,6,0,6,3,illegal
249,5,6,2,3,1,3,illegal
250,7,0,6,6,6,5,illegal
251,0,5,7,3,7,1,illegal
252,0,7,6,7,0,6,illegal
253,3,7,3,3,2,6,illegal
254,2,1,7,0,0,0,illegal
255,0,5,1,0,0,4,illegal
256,6,1,1,0,1,4,illegal
257,0,6,4,6,1,5,illegal
258,7,7,3,1,0,1,illegal
259,4,1,6,4,7,4,illegal
260,5,5,3,0,6,4,illegal
261,5,3,3,3,6,2,illegal
262,2,1,7,7,7,1,illegal
263,6,2,5,1,5,0,illegal
264,1,5,4,3,7,3,illegal
265,2,2,7,1,1,2,illegal
266,0,7,3,6,3,3,illegal
267,1,2,7,6,1,2,illegal
268,3,3,4,2,2,2,illegal
269,0,1,1,3,1,1,illegal
270,4,1,5,3,5,6,illegal
271,5,6,4,7,4,2,illegal
272,5,6,3,2,1,2,illegal
273,5,0,2,5,2,6,illegal
274,7,2,5,4,5,6,illegal
275,3,0,0,6,0,5,illegal
276,5,3,0,1,5,1,illegal
277,6,0,3,5,5,1,illegal
278,3,1,4,3,3,0,illegal
279,6,4,0,3,0,1,illegal
280,3,5,5,1,4,4,illegal
281,1,2,7,7,7,6,illegal
282,0,6,3,3,0,3,illegal
283,4,4,1,4,1,6,illegal
284,5,1,0,4,0,6,illegal
285,0,0,7,3,0,0,illegal
286,2,0,5,3,3,0,illegal
287,5,3,0,5,6,4,illegal
288,5,0,5,6,4,0,illegal
289,3,5,0,7,2,6,illegal
290,0,6,2,0,0,7,illegal
291,3,7,3,7,3,1,illegal
292,3,0,7,5,7,1,illegal
293,7,4,2,2,0,2,illegal
294,4,3,7,6,4,3,illegal
295,6,2,6,2,7,4,illegal
296,5,4,5,4,0,2,illegal
297,6,7,1,2,2,2,illegal
298,1,6,4,6,4,0,illegal
299,7,2,5,4,5,1,illegal
300,7,4,7,0,6,0,illegal
301,0,5,5,3,6,3,illegal
302,3,3,5,0,4,3,illegal
303,0,6,7,7,7,3,illegal
304,1,6,0,1,2,5,illegal
305,6,7,0,7,0,3,illegal
306,7,2,2,5,3,5,illegal
307,2,6,7,6,1,7,illegal
308,5,3,6,1,6,6,illegal
309,6,6,1,1,7,7,illegal
310,5,1,3,3,4,0,illegal
311,4,6,6,0,5,6,illegal
312,4,5,7,0,6,0,illegal
313,6,0,6,3,3,3,illegal
314,0,7,1,3,1,6,illegal
315,1,5,7,1,1,1,illegal
316,7,0,7,0,7,0,illegal
317,5,2,5,2,3,7,illegal
318,1,6,5,4,0,6,illegal
319,5,7,4,4,6,7,illegal
320,3,6,1,0,1,7,illegal
321,6,6,5,4,5,2,illegal
322,5,6,3,7,3,5,illegal
323,2,7,0,7,0,2,illegal
324,2,7,5,3,5,6,illegal
325,5,1,7,5,6,0,illegal
326,0,1,7,2,7,6,illegal
327,3,6,6,1,3,1,illegal
328,4,1,2,4,4,1,illegal
329,1,5,3,5,3,4,illegal
330,7,6,1,2,1,2,illegal
331,6,4,6,4,7,6,illegal
332,5,0,2,3,2,2,illegal
333,0,6,2,2,1,6,illegal
334,7,0,4,3,4,3,illegal
335,6,4,5,0,5,4,illegal
336,3,6,4,0,0,0,illegal
337,2,6,2,6,3,4,illegal
338,5,3,6,1,4,2,illegal
339,4,5,2,5,5,5,illegal
340,0,2,6,3,1,3,illegal
341,7,3,4,3,4,3,illegal
342,5,4,0,1,5,5,illegal
343,7,4,7,1,3,5,legal
344,6,5,6,0,3,6,legal
345,7,7,5,6,2,5,legal
346,0,0,3,5,1,4,legal
347,2,6,2,2,7,6,legal
348,0,5,5,7,7,0,legal
349,4,4,6,1,5,7,legal
350,6,3,6,1,0,7,legal
351,3,2,2,7,5,5,legal
352,7,5,6,4,5,1,legal
353,3,0,0,2,4,4,legal
354,2,6,7,2,1,3,legal
355,2,5,2,0,6,7,legal
356,5,1,2,0,6,7,legal
357,1,0,4,0,0,7,legal
358,0,4,1,7,2,3,legal
359,0,6,4,2,0,3,legal
360,1,7,4,6,6,4,legal
361,7,3,1,0,7,1,legal
362,3,0,7,5,0,3,legal
363,5,5,6,2,7,5,legal
364,3,0,5,4,1,1,legal
365,7,4,5,6,0,5,legal
366,0,5,7,4,0,0,legal
367,7,3,3,1,6,0,legal
368,2,0,4,7,5,4,legal
369,4,3,1,1,4,5,legal
370,5,5,0,7,1,2,legal
371,7,6,5,6,6,0,legal
372,6,5,4,3,3,4,legal
373,3,6,0,0,7,1,legal
374,3,6,4,7,6,2,legal
375,2,7,2,6,4,4,legal
376,5,4,4,4,7,2,legal
377,3,7,2,1,5,2,legal
378,3,6,6,0,1,3,legal
379,2,2,6,7,0,3,legal
380,3,3,2,6,1,2,legal
381,0,6,5,4,1,1,legal
382,6,6,1,1,3,2,legal
383,4,2,0,2,7,2,legal
384,6,7,7,0,4,4,legal
385,1,5,7,7,5,1,legal
386,1,0,1,3,2,2,legal
387,5,5,3,6,1,0,legal
388,6,6,2,1,0,5,legal
389,5,0,5,4,2,6,legal
390,5,2,0,5,1,3,legal
391,7,3,3,0,1,2,legal
392,1,0,0,3,1,2,legal
393,1,6,2,7,1,2,legal
394,2,0,6,2,2,3,legal
395,5,4,2,0,5,7,legal
396,0,3,5,0,2,5,legal
397,2,0,4,5,7,6,legal
398,6,1,0,0,4,4,legal
399,2,4,1,0,4,5,legal
400,6,7,0,3,5,0,legal
401,2,5,1,1,4,0,legal
402,3,3,5,6,2,7,legal
403,4,2,5,5,0,1,legal
404,4,4,0,3,7,7,legal
405,2,4,5,7,1,2,legal
406,0,7,0,6,3,5,legal
407,1,4,5,4,6,7,legal
408,6,5,6,4,2,2,legal
409,1,7,2,1,3,3,legal
410,3,1,2,2,3,5,legal
411,3,7,3,4,5,6,legal
412,2,3,7,2,4,0,legal
413,5,0,1,7,7,2,legal
414,4,5,6,6,2,4,legal
415,5,3,2,0,7,3,legal
416,1,7,6,0,5,3,legal
417,2,7,4,1,6,4,legal
418,6,6,4,4,6,2,legal
419,1,7,3,2,5,5,legal
420,1,3,7,0,3,2,legal
421,5,4,5,1,2,6,legal
422,4,0,3,1,2,5,legal
423,6,5,7,2,4,0,legal
424,1,6,4,7,1,0,legal
425,4,6,6,3,7,2,legal
426,4,4,2,3,6,4,legal
427,4,7,2,1,6,4,legal
428,3,2,0,1,6,2,legal
429,7,5,0,1,1,3,legal
430,2,7,1,5,0,6,legal
431,1,0,6,3,3,7,legal
432,6,7,2,3,5,5,legal
433,7,1,0,7,2,3,legal
434,5,4,0,6,2,1,legal
435,5,2,3,4,1,3,legal
436,1,3,0,0,6,4,legal
437,5,7,5,0,1,6,legal
438,3,1,0,4,2,7,legal
439,5,6,7,5,0,2,legal
440,0,2,3,4,4,0,legal
441,4,0,0,4,5,7,legal
442,7,1,7,6,4,1,legal
443,6,7,5,1,6,3,legal
444,1,7,2,0,0,1,legal
445,5,0,6,7,5,3,legal
446,1,3,6,0,7,3,legal
447,4,4,2,1,4,6,legal
448,2,6,2,4,5,3,legal
449,5,3,4,5,7,0,legal
450,0,1,1,7,4,1,legal
451,7,7,5,1,3,0,legal
452,7,4,2,3,7,7,legal
453,4,2,0,6,2,7,legal
454,6,3,4,2,1,1,legal
455,3,3,6,0,4,7,legal
456,2,1,1,2,4,7,legal
457,2,7,5,4,0,0,legal
458,6,2,3,7,0,2,legal
459,0,7,2,5,5,3,legal
460,4,7,2,5,3,4,legal
461,1,7,3,4,1,0,legal
462,5,0,1,7,4,2,legal
463,0,6,1,0,5,7,legal
464,5,7,4,6,2,4,legal
465,3,5,0,0,7,2,legal
466,3,6,7,6,6,1,legal
467,7,5,3,0,2,2,legal
468,4,5,5,1,0,6,legal
469,3,6,2,3,3,4,legal
470,6,7,2,1,7,4,legal
471,1,7,1,3,4,2,legal
472,3,2,5,1,2,7,legal
473,4,4,3,6,6,4,legal
474,0,5,5,7,6,2,legal
475,2,4,1,3,2,2,legal
476,2,3,6,7,7,4,legal
477,2,2,7,7,4,4,legal
478,7,7,4,1,5,0,legal
479,0,6,5,7,4,3,legal
480,6,6,0,4,6,2,legal
481,4,3,4,0,4,5,legal
482,3,1,2,2,4,6,legal
483,1,0,3,6,4,2,legal
484,6,5,7,2,1,4,legal
